id_ogl,job.title,job.description
1198414,PRACOWNIK PRODUKCJI SEZONOWEJ R19/1565-767/21,"brak wymagań w zakresie wykształcenia, aktualne orzeczenie do celów sanitarno- epidemiologicznych, umowa zlecenie (również w dni wolne) w godz.: 10.00-20.00, 20.00-06.00, dyspozycyjność, dobra organizacja pracy własnej, odpowiedzialność, dokładność, rzetelność"
119879,WULKANIZATOR,"chęć do pracy, możliwość przyuczenia do zawodu"
120035,POMOCNIK BUDOWLANY,Zapewniona możliwość dojazdu na budowę po uzgodnieniu z pracodawcą.
120202,OPIEKUN,"Mile widziane 6 - miesięczne doświadczenie w zawodzie.
 
"
120359,OBSŁUGA STOISKA I KAS,"[Umiejętność 1] : komunikatywność i umiejętność pracy w zespole
"
120513,NAUCZYCIEL,"[Umiejętność 1] : Studia wyższe na kierunku: pedagogika, psychologia, logopedia"
120653,PRACOWNIK ZAJMUJĄCY SIĘ SPRZĄTANIEM - MYCIE I CZYSZCZENIE URZĄDZEŃ SALI OPERACYJNEJ,"3,5 roku doświadczenia zawodowego; mile widziane: sumienność, skrupulatność, referencje"
120802,KIEROWCA-OPERATOR HDS,[Inne] : Uprawnienia i doświadczenie w obsłudze HDS( hydrauliczny dźwig samochodowy)
120958,SORTOWACZ,"1 miesiąc doświadczenia w pracy przy sortowaniu przesyłek pocztowych

"
121118,KURIER - KIEROWCA SAMOCHODU DOSTAWCZEGO,Zaświadczenie o niekaralności
121268,PRACOWNIK GOSPODARCZY,wymagania - oczekiwania pracodawcy: uprawnienia SEP do 1 KV
121428,OGRODNIK TERENÓW ZIELENI,"wykształcenie dowolne, chęć do pracy
praca na pół etatu"
121573,PRACOWNIK MYJNI RĘCZNEJ,Wykształcenie min. zawodowe (dowolne). Prawo jazdy kat. B
121891,OPERATOR SPRZĘTU C,"Wymagany staż pracy 5 lat, uprawnienia : ładowarka, fadroma, koparko-ładowarka"
122051,POMOC ADMINISTRACYJNA,"Wykształcenie wyższe - mile widziane.
Komunikatywność, podstawowa znajomość obsługi komputera - pożądane"
1221011,PRZEDSTAWICIEL HANDLOWY,Doświadczenie zawodowe w bezpośredniej sprzedaży.
122218,WULKANIZATOR,Wymagany staż pracy minimum rok oraz znajomość branży.
122368,POMOCNICZY ROBOTNIK BUDOWLANY,Doświadczenie zawodowe min. 2 lata.
122527,ŚLUSARZ - SPAWACZ,mile widziane uprawnienia spawalnicze
122677,MECHANIK MASZYN ROLNICZYCH I BUDOWLANYCH,"Umiejętność pracy w zawodzie - znajomość mechaniki, mile widziana umiejętność spawania."
122833,ROBOTNIK GOSPODARCZY,Umiejętność wykonywania prac gospodarczych i porządkowych.
1253977,SPECJALISTA DS. SERWISU,"[Umiejętność 1] : Poszukujemy zmotywowanego Kandydata, chętnego do nauki zawodu."
1255159,PODINSPEKTOR/INSPEKTOR/SPECJALISTA W WYDZIALE OBSŁUGI,"[Inne] : • ukończone kursy i szkolenia z zakresu profesjonalnej obsługi sekretariatu,
 • doświadczenie zawodowe na stanowisku o podobnym zakresie zadań, 
 • doświadczenie zawodowe w pracy w administracji publicznej."
1255281,SPECJALISTA DS. KADR I PŁAC ORAZ ZUS,"sumienność i skrupulatność; znajomość podstaw przepisów prawa pracy, kalkulacji wynagrodzeń oraz zasiłków wypłacanych w związku z umową o pracę, znajomość przepisów dotyczących ubezpieczeń społecznych"
1255400,SPECJALISTA DS. SANITARNYCH LUB ELEKTRYCZNYCH,"[Inne] : •        Wykształcenie wyższe techniczne 
•        Znajomość prawa budowlanego
•        Znajomość zamówień publicznych 
•        Umiejętności z zakresu prac elektrycznych/hydraulicznych/budowlanych
•        Mile widziane uprawnienia budowlane
"
1257377,SPECJALISTA DO SPRAW SPRZEDAŻY,"Wymagania: minimum rok pracy w dziale sprzedaży, znajomość logistyki, umiejętność przygotowania dokumentów przetargowych, znajomość obsługi komputera, mile widziana znajomość programów do wysyłek kurierskich (np.Firm Schenker, Raben). Znajomość języka angielskiego w stopniu dobrym. Cv należy przesłać na maila pracodawca skontaktuje się z wybranymi kandydatami."
1257526,SPECJALISTA DO SPRAW KADR,"wykształcenie wyższe, staż pracy bez znaczenia, KURS KADRY I PŁACE
 W związku z tym, że firma zatrudnia obcokrajowców (ukraińców), specjalista ds. kadr powinien znać język ukraiński B2"
1260019,SPECJALISTA DS. SZKOLEŃ (PIELĘGNIARSTWO PSYCHIATRYCZNE),"Wymagania: wykształcenie wyższe pielęgniarskie, znajomość przepisów prawnych z zakresu kształcenia podyplomowego, obowiązujących programów kształcenia podyplomowego pielęgniarek i położnych, znajomość środowiska medycznego, znajomość pracy biurowej, prowadzenia dokumentacji, archiwizacji dokumentów, znajomość obsługi komputera, pakietu MS OFFICE oraz EXCEL, umiejętności interpersonalne, wskazane posiadanie tytułu specjalisty w dziedzinie pielęgniarstwa psychiatrycznego.
 

 Obowiązki:
 - realizowanie zadań związanych z przebiegiem szkoleń specjalizacyjnych dla pielęgniarek i położnych
 - prowadzenie czynności przygotowawczych związanych ze szkoleniami
 - prowadzenie dokumentacji szkoleń
 - rekrutacja kadry dydaktycznej
 - przygotowanie umów z placówkami szkoleniowymi, opracowywanie harmonogramów zajęć
 - opracowanie testów
 - praca w czasie ruchomym w weekendy
 

 Praca na 1/8 etatu, w czasie ruchomym w weekendy."
1262,PRACOWNIK OBSŁUGI BIUROWEJ,"wykształcenie średnie - mile widziane kierunkowe (logistyka, transport), obsługa komputera, znajomość języka angielskiego lub niemieckiego w stopniu komunikatywnym."
1384043,SPRZĄTACZKA,"Orzeczenie o stopniu niepełnosprawności. 
Mile widziane doświadczenie na podobnym stanowisku."
1384209,SPRZĄTACZKA,"Sprzątanie klatek w blokach, motywacja do pracy, sumienność, odpowiedzialność."
1384499,SPRZĄTACZKA DOMOWA,"Wykształcenie średnie 
 punktualność 
 pracowitość, staranność 
 Osoba bez nałogów, chętnie z doświadczeniem przy sprzątaniu prywatnych nieruchomości."
141035,KIEROWCA C+E - 520,"prawo jazdy kat. C+E, ważna karta kierowcy, podstawowa znajomość języka angielskiego, niemieckiego"
141186,ELEKTROMONTER - 473,"wykształcenie min. zawodowe, uprawnienia SEP powyżej 1kV, znajomość instalacji elektrycznych, czytanie schematów elektrycznych, zasilania i sterowania; punktualność, odpowiedzialność, umiejętność pracy w zespole."
1412,MŁODSZY KONSULTANT/CZYNNOŚCI ADMINISTRACYJNO-BIUROWE,"[Umiejętność 1] : podstawowa wiedza z zakresu legalizacji pobytu i pracy cudzoziemców
"
141341,POMOC KSIĘGOWEJ,"wykształcenie średnie zawodowe, doświadczenie na podobnym stanowisku, biegła obsługa komputera - Umiejętność obsługi programów Ms Office, DOŚWIADCZENIE I UMIEJĘTNOŚĆ PRACY W ZESPOLE, jęz. angielski B1"
141487,MASZYNISTA MASZYN OFFSETOWYCH R117/1768-865/21,"mile widziane wykształcenie zasadnicze zawodowe, prawo jazdy kat. B, znajomość obsługi maszyn offsetowych"
141620,"KELNER
(NR 2123)","Wymagania:
- wykształcenie średnie,
- doświadczenie na stanowisku kelnera,
- dobra organizacja własnej pracy,
- aktualne badania do celów sanitarno-epidemiologicznych."
141761,SZLIFIERZ/ TOKARZ R1678/1175-565/21,"wykszt. min. zasadnicze zawodowe techniczne; mile widziane doświadczenie; wiedza z zakresu obróbki skrawaniem; praca w godz. 06.00-14.00, 14.00-22.00"
141915,POMOCNIK ELEKTRYKA,"KONTAKT W SPRAWIE OFERTY PRACY:
- osobisty: Pokrówka, ul. Mostowa 3
- telefoniczny:  <<PHONE>>
- można również przesyłać CV drogą e-mailową na adres:  <<EMAIL>> 
"
142069,MECHANIK SAMOCHODOWY,"Umiejętność naprawy samochodów osobowych:montaż i demontaż podzespołów samochodu., wymiana klocków, rozrządu itp. Roczne doświadczenie nie wliczając okresu przygotowania zawodowego."
142215,SZWACZKA MASZYNOWA,"umiejętność szycia na maszynach szwalniczych : stębnówka automat, overlocka, renderki, dziurkarki, guzikarki"
142367,PRACOWNIK MAGAZYNU,"Gotowość do pracy dwuzmianowej (5.45 - 14.00, 15.00 - 23.15). Możliwość pracy tylko na zmianie nocnej 20.30 - 4.45 lub 24.00 - 8.15"
142527,PRACE PRZY ROBIENIU KEBABÓW,"wykształcenie średnie, umiejętność krojenia mięsa, robienia kebabów, obsługi kasy fiskalnej; wymagana książeczka sanepidowska, min. 4 miesiące pracy przy krojeniu mięsa"
142677,TAPICER MEBLOWY,"Wykształcenie nieistotne, możliwość przyuczenia do zawodu, chęć do pracy, dbanie o porządek pracy."
142833,CIEŚLA,"mile widziane doświadczenie, może być także osoba do przyuczenia posiadająca chęci do pracy"
142975,TECHNOLOG - KOORDYNATOR PRODUKCJI ( 167 J),"[Umiejętność 1] : znajomość technologii obróbki metalu,  znajomość zarządzania  produkcją, obsługa programów CAD/CAM; prawo jazdy B
[Inne] : wynagrodzenie do negocjacji uzależnione od kwalifikacji i obowiązków
"
143119,OPERATOR LINII BMW,"pożądane wyk. podstawowe, min. 2 miesiące doświadczenie jako operator CNC,podstawowa znajomość rysunku technicznego, 
 znajomość obsługi przyrządów pomiarowych
 Praca 6-14, 14-22, 22-6"
143272,POMOCNIK STOLARZA,"wyk. min. zawodowe, mile widziane doświadczenie, samodzielność, łatwość przerzucania się z jednej czynności na drugą, dokładność, samokontrola
 Praca pon.- pt. 6-14"
143419,KIEROWCA CATERINGU,"Prawo jazdy kat. B, doświadczenie na podobnym stanowisku, znajomość języka angielskiego w stopniu komunikatywnym, dobra organizacja czasu pracy, odpowiedzialność, wysoka kultura osobista."
143559,LAKIERNIK SAMOCHODOWY,"Zatrudnienie uczestnika 9-8 Hufca Pracy w Sanoku, w ramach gwarancji zatrudnienia, po ukończeniu praktycznej nauki zawodu."
143710,SALOWA,"[Inne] : Praca w dni wolne, ruch ciągły, Kontakt do Kierownika Obiektu Katarzyna Guzińska  <<PHONE>>
"
143854,SPAWACZ-MONTER,"Wymagania: umiejętność spawania sekcji rurowych, umiejętność czytania rysunku technicznego, uprawnienia spawalnicze, doświadczenie zawodowe minimum rok."
144000,POMOCNIK ELEKTRYKA,"brak przeciwwskazań do pracy na wysokości pow. 3m, umiejętność pracy w zespole, gotowość do podjęcia pracy i zdobywania wiedzy."
144145,INFORMATYK,"wykształcenie wyższe, prawo jazdy kat B, bardzo dobra znajomość pakietu Office, mile widziane doświadczenie na wskazanym stanowisku,"
144287,MONTER ROZDZIELNIC,"Wykształcenie bez znaczenia, wymagane doświadczenie na podobnym stanowisku oraz umiejętność czytania dokumentacji technicznej. Mile widziane: wykształcenie kierunkowe, uprawnienia do zajmowania się eksploatacją urządzeń."
144434,KIEROWANIE POJAZDEM DOSTAWCZYM,"Wymagane doświadczenie zawodowe min. 1 rok na stanowisku kierowcy busa do 3,5 t. Wymagana umiejętność obsługi wózka widłowego Wymagana umiejętność wypełniania dokumentów przewozowych."
144574,KIEROWCA KAT. B,"wykształcenie średnie, mile widziane doświadczenie zawodowe, prawo jazdy kat. B., zaangażowanie, dbanie o powierzony pojazd, sumienność, chęć do pracy."
144718,OPIEKUN/KA OSÓB STARSZYCH,"Wymagania: doświadczenie zawodowe na stanowisku opiekuna osób starszych, znajomość języka niemieckiego w stopniu minimum podstawowym."
144863,ELEKTRYK,"wykształcenie od zawodowego, wymagane doświadczenie zawodowe w montażu instalacji elektrycznych, uprawnienia SEP do 1kV."
145019,ADMINISTRATOR NIERUCHOMOŚCI,"Zakres obowiązków; kontrola nieruchomości, kontrola firm obsługujących nieruchomość, obsługa mieszkańców w powierzonych nieruchomościach . Wymagania; doświadczenie na podobnym stanowisku.Prawo jazdy kat B."
145167,OPERATOR WÓZKA WIDŁOWEGO,Wymagania - kurs obsługi wózków jezdniowych oraz mile widziane doświadczenie na stanowisku. Kontakt osobisty lub telefoniczny.
145323,KELNER,"Mile widziane doświadczenie w pracy w obsłudze gastronomicznej klienta
 Mile widziana znajomość jęz. angielskiego lub niemieckiego w stopniu przynajmniej podstawowym"
145472,SZPACHLARZ-MALARZ/MONTER PŁYT K/G,Wymagania: Doświadczenie jako szpachlarz-malarz/monter płyt K/G - min. 3 lata. Praca na terenie Polski (obecnie Sopot). Kontakt telefoniczny.
145622,PRACOWNIK EKIPY SPRZĄTAJĄCEJ,"umiejętność obsługi maszyny szorującej oraz szorująco-zmywającej, praca w centrum Poznania, praca na dwie zmiany w godzinach 6-14 oraz 14-22"
145760,OPIEKUN,"wykształcenie wyższe, min. licencjat - edukacja wczesnoszkolna i przedszkolna lub ukończony 280-godzinny kurs opiekuna w żłobku"
145909,OPIEKUN GALERII MUZEUM ( STAŻ EFS DLA OSÓB DO 29 R.Ż.),"wykształcenie min. średnie mile widziane wyższe z zakresu turystyki, mile widziana znajomość języka angielskiego lub niemieckiego, wysoka kultura osobista, komunikatywność"
146060,"KIEROWCA SAMOCHODU POW. 3,5 T.","[Inne] : Posiadanie cyfrowej karty kierowcy, świadectwa kwalifikacji zawodowej kierowcy oraz badania psychologicznego będzie dodatkowym atutem."
146210,POMOCNICZY ROBOTNIK BUDOWLANY,"[Umiejętność 2] : Dyspozycyjność, asertywność, empatia, energiczność, komunikatywność, dokładność, otwartość, rzetelność
 [Umiejętność 1] : wykonywanie ścian, szpachlowanie, samodzielność, umiejętność posługiwania się narzędziami pomiarowymi, pracownik ogólnobudowlany"
146354,WOŹNY - KONSERWATOR - 550,"wykształcenie minimum podstawowe, obywatelstwo polskie, dobry stan zdrowia, doświadczenie na podobnym stanowisku, umiejętność pracy w zespole, umiejętność organizacji pracy, rzetelność, sumienność, dyspozycyjność, systematyczność, odpowiedzialność,"
146497,SORTOWACZ,"minimum 1 miesiąc doświadczenia w pracy na podobnym stanowisku, punktualność, dokładne wykonywanie poleceń."
146650,SALOWA,"Poziom wykształcenia - nie wymagane. Inne - sumienność w wykonywaniu obowiązków, książeczka sanitarno-epidemiologiczna."
146800,PODINSPEKTOR DS. KSIĘGOWOŚCI FINANSOWO-BUDŻETOWEJ,"[Umiejętność 1] : Pełna treść wymagań i obowiązków: https://umprzemkow.bip.gov.pl/ogloszenia-o-prace/17199_podinspektor-ds-ksiegowosci-finansowo-budzetowej.html
"
146938,MONTER ŚCIANEK DZIAŁOWYCH,Wymagania: wykształcenie min. zasadnicze zawodowe oraz doświadczenie zawodowe min. 2 lata. Mile widziane prawo jazdy kat. B.
147089,KELNER,"wykształcenie nieistotne, wymagane posiadanie książeczki sanepidowskiej, mile widziana znajomość języka angielskiego oraz doświadczenie zawodowe, komunikatywność, otwartość, dyspozycyjność"
147233,PRACOWNIK OGÓLNOBUDOWLANY,"doświadczenie w pracy związanej ze wznoszeniem budynków, udokumentowane kwalifikacje bądź doświadczenie w pracy na danym stanowisku"
147378,POMOC NAUCZYCIELA,"uprawnienia z zakresu pedagogiki specjalnej 
 doświadczenie zawodowe z pracą z dziećmi, cierpliwość, łatwość nawiązywania kontaktów z dziećmi"
147524,AUTOMATYK ELEKTRONIK,"- roczna praktyka w zawodzie
- programowanie sterowników PLC, CNC
- znajomość budowy i funkcjonowania maszyn
- uprawnienia elektryczne Gr.1 do 15 k V"
147670,KIEROWCA CIĄGNIKA ROLNICZEGO-TRAKTORZYSTA,"Wykształcenie bez znaczenia, mile widziane doświadczenie w zawodzie, wymagane: prawo jazdy kat B, C, uprawnienia operatora koparko-ładowarki lub operatora ładowarki, maszyn drogowych (dowolnie)."
147810,KIEROWCA MIĘDZYNARODOWY,"wymagana znajomość języka ukraińskiego i rosyjskiego, ponieważ firma współpracuje ze spedycją ukraińską,
 umiejętność wypełniania dokumentów transportowych CMR, 
 wymagane doświadczenie w przewozie towarów poza granicami kraju."
147951,PIELĘGNIARKA,"Wykształcenie średnie lub wyższe, aktualne prawo do wykonywania zawodu pielęgniarki, dyplom w zawodzie, raport z badania bakteriologicznego."
148093,PRACOWNIK RESTAURACJI,"[Inne] : GOTOWOŚĆ WYROBIENIA KSIĄŻECZKI DO CELÓW SANITARNO-EPIDEMIOLOGICZNYCH. Zatrudnimy również osoby z orzeczeniem o stopniu niepełnosprawności - wyjątek stanowią osoby z epilepsją.
"
148250,MECHANIK PRECYZYJNY,"wykształcenie min. zawodowe, mile widziane umiejętności manualne
godz. pracy: 6-14, 14-22"
148393,PRACOWNIK KWASZARNI,"Ciężka praca, wymagająca dobrej kondycji fizycznej. Godziny pracy: od 7:00 do 15:00."
148545,INSTALATOR SYSTEMÓW KLIMATYZACJI I WENTYLACJI,"obsługa elektronarzędzi, umiejętność pracy w zespole, dyspozycyjność (możliwe delegacje), mile widziane doświadczenie w branży chłodniczej."
148691,NAUCZYCIEL PRAKTYCZNEJ NAUKI ZAWODU (MECHANIK POJAZDÓW SAMOCHODOWYCH),Wykształcenie wyższe magisterskie z przygotowaniem pedagogicznym; kierunek: budowa pojazdów samochodowych diagnostyka i eksploatacja.
148846,OPERATOR STACJI UZDATNIANIA WODY,"Mile widziane doświadczenie na podobnym stanowisku pracy.
Uprawnienia elektryczne do 1 kv."
148994,SPAWACZ,Wymagania: uprawnienia spawalnicze- spawanie metodą 135 lub 111 spoiny doczołowe lub pachwinowe. Doświadczenie mile widziane . Praca od 07:00 do 19:00 II zmiany.
149137,POMOCNICZY ROBOTNIK SZKLARNIOWY OFPR/21/1435 (S),PI PO WER podmiana - oferta adresowana do osób bezrobotnych do 30 r.ż.
149281,"INSPEKTOR DS. PRZYGOTOWANIA PRODUCJI
(NR 2937)","studia techniczne, mechaniczne, wymagane doświadczenie na podobnym stanowisku, znajomość języka angielskiego lub niemieckiego, znajomość programów Autocad, Inventor, Solid Edge, Ms Office"
