id_ogl,kod1,kod2,kod3
145323,513101,513202,513290
145472,712901,712904,712990
145622,911207,911290,912901
145760,234201,234202,234290
145909,343302,343301,343390
146060,833203,833202,833290
146210,931301,711102,931290
146354,515303,515301,515390
146497,432105,432101,432190
146650,911206,911207,911290
146800,431101,431102,431190
146938,712905,712904,712990
147089,513101,513202,513290
147233,711102,931301,931290
147378,531202,531203,531290
147524,311909,311410,311990
147670,834101,834190,834102
147810,833203,833202,833290
147951,222101,222190,222102
148093,513290,513101,513202
148250,731103,731104,731190
148393,932911,932901,932990
148545,712703,712701,712790
148691,232003,235915,232090
148846,313208,313209,313290
148994,721204,721290,721201
149137,931203,931201,931290
149281,311909,311911,311990
149426,832203,832201,832290
149574,711202,711204,711290
149720,832205,832203,832290
149871,941201,941202,941203
150021,834401,432103,432101
19237,522301,522303,522390
19390,523002,522301,522303
194381,241290,241103,241104
194539,515303,515301,515390
194695,723307,723310,723390
194858,712906,712905,712990
195014,723103,723104,723190
195170,441501,441502,441590
195321,432105,432101,432190
19546,522301,522303,522390
195488,332203,524302,524304
195650,711501,711502,711590
195811,233001,234104,235909
195971,311101,311103,311190
196133,311202,311909,311990
196297,832202,832203,832290
196463,932911,932901,932990
196623,222101,222190,222102
196780,711903,311204,311290
19693,522301,522303,522390
196945,531202,531203,531290
197098,311909,311505,311990
197259,834205,834204,834290
197417,932911,932901,932990
197577,513101,513202,513290
197888,712703,712701,712790
198045,752205,752208,752290
19866,522301,522303,522390
20018,522301,522303,522390
20181,523002,522301,522303
208,332203,332290,411003
21191,522301,522303,522390
21349,243106,243105,243190
21510,522301,522303,522390
21667,523002,522301,522303
25495,522301,522303,522390
254992,833101,833102,833190
255185,818901,818902,818990
255369,251402,251201,251290
255543,331301,241103,241102
255723,235916,235905,235990
255899,531107,531108,531190
256087,311408,351203,351290
256272,713102,713101,713190
3267,411003,411004,411090
368,411003,411004,411090
44,411003,411004,411090
441395,411003,411004,411090
441543,325907,235909,325590
642188,515303,515301,515390
73922,422201,243305,332203
74137,422201,332203,243305
