class,desc
111403,"Zawodowy działacz organizacji pozarządowej Określa, formułuje i wdraża program, cele i zasady organizacji pozarządowej; planuje, koordynuje i dokonuje oceny działalności oraz efektów pracy organizacji pozarządowej lub jej jednostek organizacyjnych; prowadzi negocjacje w imieniu organizacji, jej członków i reprezentowanych przez organizację grup społecznych; promuje i wspiera interesy organizacji oraz jej członków wobec władzy ustawodawczej, wykonawczej i społeczeństwa; przedstawia sprawozdania władzom organizacji, członkom organizacji i agencjom finansującym; monitoruje i ocenia efekty działania organizacji pozarządowej; reprezentuje organizację pozarządową wobec partnerów i instytucji zewnętrznych."
111404,"Zawodowy działacz organizacji zawodowej Reprezentuje członków organizacji zawodowej wobec władz państwowych i samorządowych, pracodawców i instytucji zewnętrznych; inicjuje działalność naukową i popularyzatorską we wszystkich dziedzinach związanych z obszarem działalności organizacji; wspiera procesy doskonalenia kwalifikacji zawodowych oraz kształtowania etyki zawodowej członków organizacji; działa na rzecz integrowania środowiska zawodowego i tworzenie koleżeńskich więzi członków organizacji; rozwija kontakty i współpracę z krajowymi, zagranicznym i międzynarodowymi organizacjami zawodowymi; prowadzi działania na rzecz ochrony zawodu i interesów członków organizacji."
111405,"Zawodowy działacz organizacji związkowej Reprezentuje i broni prawa oraz interesy pracownicze, obywatelskie i socjalne pracowników i innych osób zrzeszonych w związku oraz ich rodzin; promuje aktywność społeczną i etykę zawodową wśród pracowników i pracodawców poprzez ochronę godności pracowników; działa na rzecz sprawiedliwych relacji społecznych i ekonomicznych w wymiarze lokalnym krajowym i międzynarodowym; współdziała z organizacjami związkowymi, organizacjami i ruchami społecznymi w kraju i za granicą; działa na rzecz poprawy poziomu życia związkowców i ich rodzin, poprawy warunków pracy i jej bezpieczeństwa, ochrony zdrowia oraz środowiska naturalnego człowieka; integruje i umacnia rolę ruchu związkowego."
111490,Pozostali zawodowi działacze organizacji członkowskich Opis w opracowaniu Opis w opracowaniu
112001,"Dyrektor do spraw administracyjnych Odpowiada za funkcjonowanie administracji w firmie; sprawuje nadzór nad przestrzeganiem odpowiednich procedur obowiązujących w firmie; nadzoruje zaopatrzenie i wyposażenie oraz zatwierdza plany i wydatki na niezbędne materiały, urządzenia i wyposażenie firmy; dba o optymalizację procesów i kosztów zarządzania majątkiem firmy; nadzoruje procesy inwestycyjne i transportowe; koordynuje pracę podległych działów i pracowników."
112002,"Dyrektor do spraw badawczo-rozwojowych Opracowuje, wdraża i sprawuje nadzór nad realizacją strategii badawczo-rozwojowej firmy oraz kontroluje jej skuteczność; kontroluje i nadzoruje prace działu badawczo-rozwojowego; bierze udział w opracowaniu strategii produkcyjnej oraz nadzoruje jej realizację; monitoruje rynek produktów pod kątem opracowywania nowych i ulepszania istniejących w firmie rozwiązań; pobudza innowacyjność podległych pracowników działu badawczo-rozwojowego i kieruje ich pracami; ściśle współpracuje z działem marketingu, sprzedaży oraz działem produkcji w zakresie opracowywania nowych produktów i technologii; nawiązuje i nadzoruje współpracę z zewnętrznymi jednostkami badawczymi; opracowuje i nadzoruje realizację polityki patentowej firmy."
112003,"Dyrektor do spraw energetyki Opracowuje, wdraża i sprawuje nadzór nad realizacją strategii zarządzania energią w organizacji oraz kontroluje jej skuteczność; kontroluje i nadzoruje pracę działu odpowiedzialnego za zarządzanie energią w organizacji; bierze udział w opracowaniu strategii inwestycyjnych w zakresie planowania zużycia i zapewniania energii; monitoruje rynek dostawców energii i operatorów sieci przesyłowych pod kątem optymalizacji kosztów dostaw mediów energetycznych; współpracuje z działem produkcji i planowania w zakresie planowania potrzeb energetycznych przedsiębiorstwa; nawiązuje i nadzoruje współpracę z zewnętrznymi dostawcami energii."
112004,"Dyrektor do spraw informatyki / informacji Inicjuje i koordynuje rozwój systemów informatycznych w firmie; zarządza i organizuje pracę działu informatyki; nadzoruje bezpieczeństwo danych elektronicznych; tworzy, rozlicza i kontroluje budżet organizacji związany z utrzymaniem zasobów informatycznych; odpowiada za utrzymywanie relacji z kluczowymi dostawcami i klientami."
112005,"Dyrektor do spraw personalnych Nadzoruje, kontroluje i planuje prace związane z zasobami ludzkimi w przedsiębiorstwie/ organizacji; tworzy i realizuje politykę personalną; nadzoruje przestrzeganie i prawidłowe stosowanie przepisów prawa pracy i ubezpieczeń społecznych; odpowiada za przygotowanie danych i dokumentów niezbędnych w naliczaniu płac; odpowiada za planowanie i nadzorowanie procesów rekrutacji i szkoleń."
112006,Dyrektor finansowy Odpowiada za strategię i sytuację finansową organizacji; nadzoruje i koordynuje przygotowania budżetu finansowego; kontroluje rzeczywiste wyniki ekonomiczne firmy w odniesieniu do wyznaczonych celów; nadzoruje dokumentację księgową i kontroluje jej poprawność zgodnie z przepisami i procedurami; ocenia ryzyko finansowe podejmowanych przez organizację działań i inwestycji.
112007,"Dyrektor generalny Zarządza i koordynuje pracę całego przedsiębiorstwa/ organizacji; kreuje, wdraża i kontroluje realizację planów krótko-, średnio- i długoterminowych; tworzy wizję i strategię przedsiębiorstwa/ organizacji oraz kontroluje stopień wykonania celów."
112008,"Dyrektor handlowy Odpowiada za politykę handlową firmy; zarządza działem handlowym, opracowuje strategię i plany sprzedaży oraz nadzoruje ich realizację."
112009,"Dyrektor logistyki Sprawuje nadzór na działalnością logistyczną firmy; planuje zaopatrzenie firmy 
w materiały przy optymalizacji procesów i systemów logistycznych, pozyskuje 
i utrzymuje dobre relacje z partnerami strategicznymi."
112010,"Dyrektor marketingu Odpowiada za opracowanie i wdrażanie strategii i planów marketingowych, nadzorowanie przeprowadzania analiz i badań rynkowych, monitorowanie skuteczności działań reklamowych i promocyjnych we wszystkich kanałach sprzedaży; prowadzi efektywne planowanie i wydatkowanie budżetu marketingowego."
112011,"Dyrektor operacyjny Odpowiada za realizację strategii firmy w powierzonej części przedsiębiorstwa/ organizacji; odpowiada za realizację budżetu jednostki, realizacje planów jednostki, analizę i optymalizację kosztów oraz wykorzystanie zasobów."
112012,"Dyrektor produkcji Kreuje strategię produkcyjną przedsiębiorstwa, wyznacza kluczowe cele produkcyjne i kontroluje ich realizację; analizuje sytuację rynkową 
i zapotrzebowanie na określone produkty i ustala krótko- i średnio- 
i długoterminowe plany produkcyjne oraz koordynuje i nadzoruje proces ich realizacji; nadzoruje procesy bezpośrednio związane z produkcją, takie jak kontrola jakości, zaopatrzenie, logistyka itp."
112013,Dyrektor rozwoju biznesu Odpowiada za rozwój pojedynczych produktów / usług lub portfela produktów / usług; współpracuje w tym zakresie z kluczowymi dostawcami i klientami; tworzy lub współtworzy strategię marketingową i sprzedażową; odpowiada za planowanie i wykonanie budżetu w zakresie zarządzanego portfela produktów lub usług.
112014,"Dyrektor sprzedaży Kreuje i realizuje politykę sprzedażową firmy, w tym pozyskuje nowych klientów oraz utrzymuje dobre relacje z partnerami biznesowymi; zarządza działem sprzedaży; opracowuje strategię i plany sprzedaży oraz nadzoruje ich realizację."
112015,"Dyrektor techniczny Kontroluje i nadzoruje prace działu do spraw technicznych; opracowuje procedury wewnętrzne optymalizujące procesy produkcyjne w zakresie efektywności i wydajności produkcji oraz kontroluje ich skuteczność; nadzoruje 
i koordynuje całokształt procesów związanych z techniczną stroną działalności firmy, w tym w zakresie: obsługi floty samochodowej, specjalistycznego sprzętu produkcyjnego, oprogramowania i komputerów oraz różnorodnych narzędzi; koordynuje przeprowadzanie szkoleń dla pracowników z zakresu obsługi sprzętu i technologii wykorzystywanych w firmie."
112016,"Dyrektor wykonawczy Odpowiada za realizację strategii firmy w jej wydzielonej jednostce; odpowiada za realizację budżetu jednostki, analizę i optymalizację kosztów oraz wykorzystanie zasobów."
112017,"Prezes Zarządza i koordynuje całością działalności przedsiębiorstwa, spółki lub innej organizacji; kreuje, wdraża i kontroluje realizację planów długoterminowych; tworzy wizję i strategię działania przedsiębiorstwa; stoi na czele zarządu, reprezentuje interesy właścicieli, rady nadzorczej lub wspólników wewnątrz i na zewnątrz organizacji."
112018,"Rektor Kieruje działalnością szkoły wyższej (uczelni, uniwersytetu, politechniki) i reprezentuje ją na zewnątrz, podejmuje decyzje we wszystkich sprawach dotyczących uczelni, z wyjątkiem spraw zastrzeżonych przez ustawę lub statut do kompetencji innych organów uczelni lub kanclerza."
112019,"Syndyk Pełni funkcję pełnomocnika sądu przeprowadzającego postępowanie upadłościowe; zarządza majątkiem osoby prawnej lub fizycznej postawionej 
w stan upadłości."
112020,"Dyrektor do spraw wdrożeń i rozwoju technologii Odpowiada za wdrażanie nowych technologii w organizacji; opracowuje plany rozwoju i modernizacji technicznej przedsiębiorstwa oraz nadzoruje proces ich wdrażania; nadzoruje wykorzystywaną w organizacji technologię, kontroluje stan techniczny sprzętu wykorzystywanego na terenie przedsiębiorstwa; sprawuje nadzór nad przechowywaniem i porządkowaniem dokumentacji technicznej; kontroluje procesy konserwacji i napraw maszyn i urządzeń; nadzoruje 
i koordynuje prace podległego personelu, w tym także zleca lub prowadzi szkolenia dla pracowników z zakresu nowo wdrożonych technologii."
112090,Pozostali dyrektorzy generalni i zarządzający Opis w opracowaniu Opis w opracowaniu
121101,Główny księgowy
121102,"Kierownik biura rachunkowego Zarządza i koordynuje pracę biura rachunkowego; kreuje, wdraża i kontroluje realizację planów krótko-, średnio- i długoterminowych; tworzy strategię biura rachunkowego; odpowiada za kontakty i pozyskiwanie klientów."
121103,"Kierownik działu finansowego Odpowiada za prowadzenie polityki finansowej firmy i nadzór nad całokształtem działań finansowych przedsiębiorstwa; odpowiada za nadzorowanie wypłat dla pracowników, zakładanie i likwidowanie rachunków bankowych, windykację długów od wierzycieli, spłatę należności wobec pożyczkodawców oraz zakładanie lokat."
121190,Pozostali kierownicy do spraw finansowych Opis w opracowaniu Opis w opracowaniu
121201,Kierownik działu kadr i płac
121202,"Kierownik działu szkoleń Odpowiada za opracowanie strategii szkoleniowej organizacji oraz organizację szkoleń podnoszących kompetencje pracowników; opracowuje plan szkoleń 
i budżet szkoleniowy w firmie; nadzoruje zamawianie i wykonanie umów szkoleniowych z trenerami, firmami szkoleniowymi itp."
121203,"Kierownik działu zarządzania zasobami ludzkimi Nadzoruje, kontroluje i planuje prace związane z zarządzaniem zasobami ludzkimi w organizacji; współtworzy i realizuje politykę personalną; nadzoruje prawidłowe stosowanie przepisów prawa pracy i ubezpieczeń społecznych; odpowiada za przygotowanie danych i dokumentów niezbędnych w naliczaniu płac; odpowiada za realizację procesów rekrutacji i szkoleń."
121204,"Kierownik przedsiębiorstwa świadczącego usługi z zakresu zarządzania zasobami ludzkimi Zarządza i koordynuje pracą przedsiębiorstwa specjalizującego się w świadczeniu usług z zakresu zarządzania zasobami ludzkimi; kreuje, wdraża i kontroluje realizację planów krótko-, średnio- i długoterminowych; tworzy strategię przedsiębiorstwa; odpowiada za kontakty i pozyskiwanie klientów."
121290,Pozostali kierownicy do spraw zarządzania zasobami ludzkimi Opis w opracowaniu Opis w opracowaniu
121301,"Dyrektor departamentu Odpowiada za koordynowanie całokształtu prac departamentu wchodzącego 
w skład urzędu zgodnie z wyznaczonym departamentowi obszarem kompetencji; odpowiada za podejmowane decyzje i rezultaty pracy departamentu; ustala wewnętrzne harmonogramy i procedury; odpowiada za politykę kadrową 
i informacyjną departamentu; realizuje politykę organizacji w kierowanym departamencie, zarządzanie całokształtem prac realizowanych w departamencie."
121302,"Kierownik do spraw strategii i planowania Odpowiada za sporządzanie planów (np. produkcyjnych, sprzedażowych) oraz strategii w wybranych obszarach działalności danej organizacji; współpracuje 
z działem produkcji, sprzedaży, logistyki itp. w zakresie pozyskiwania niezbędnych danych i przekazywania sporządzonych planów."
121303,"Naczelnik / kierownik wydziału Organizuje, koordynuje i nadzoruje prace wydziału oraz współuczestniczy w ich wykonaniu; ustala wewnętrzne harmonogramy i procedury; realizując politykę organizacji w kierowanym wydziale; kieruje podległymi pracownikami."
121390,Pozostali kierownicy do spraw strategii i planowania Opis w opracowaniu Opis w opracowaniu
121901,"Kierownik działu administracyjno-gospodarczego Odpowiada za funkcjonowanie administracji w firmie; organizuje pracę biura przez nadzorowanie i kontrolowanie działań podległych pracowników obsługi biurowej; nadzoruje zaopatrzenie biura w niezbędne materiały biurowe, urządzenia i wyposażenie biurowe; dba o optymalizację procesów i kosztów zarządzania majątkiem firmy; nadzoruje procesy inwestycyjne, transport oraz koordynuje pracę podległych pracowników."
121902,"Kierownik przedsiębiorstwa świadczącego usługi z zakresu obsługi biznesu Zarządza i koordynuje pracę przedsiębiorstwa specjalizującego się w świadczeniu usług z zakresu obsługi biznesu; kreuje, wdraża i kontroluje realizacje planów krótko-, średnio- i długoterminowych; tworzy strategię przedsiębiorstwa; odpowiada za kontakty i pozyskiwanie nowych klientów."
121903,"Kierownik przedsiębiorstwa świadczącego usługi osobiste i porządkowe Zarządza i koordynuje pracą przedsiębiorstwa specjalizującego się 
w świadczeniu usług osobistych i porządkowych, obejmujących usługi związane za sportem i rekreacją, usługi fryzjerskie. kosmetyczne, usługi gastronomiczne, usługi związane z rezerwacją biletów, miejscówek, środków transportu, usługi związane z przeprowadzkami, usługi związane z prowadzeniem domu, sprzątaniem i porządkowaniem mieszkań, biur i innych obiektów itp.; kreuje, wdraża i kontroluje realizację planów krótko-, średnio- i długoterminowych; tworzy strategię przedsiębiorstwa; odpowiada za kontakty, pozyskiwanie i obsługę klientów."
121904,"Kierownik projektu Bezpośrednio zarządza projektem rozumianym, jako tymczasowe przedsięwzięcie podejmowane w celu stworzenia unikalnego produktu, usługi lub innego rezultatu; odpowiada za osiągnięcie wyznaczonych celów projektu w wyznaczonym czasie, przy kreślonych zasobach i założonym budżecie; zajmuje się planowaniem, organizowaniem, nadzorowaniem realizacji i rozliczaniem projektów o charakterze inwestycyjnym, organizacyjnym, ekonomicznym, edukacyjnym, społecznym, informatycznym itp."
121990,Pozostali kierownicy do spraw obsługi biznesu i zarządzania gdzie indziej niesklasyfikowani Opis w opracowaniu Opis w opracowaniu
122101,"Kierownik do spraw marketingu Opracowuje strategię marketingową organizacji; nadzoruje jej wdrożenie 
i monitoruje skuteczność; kreuje wizerunek marki na rynku; organizuje 
i przeprowadza badania rynku; planuje budżet marketingowy; zarządza współpracą z dostawcami usług; zarządza podległym zespołem."
122102,Kierownik do spraw sprzedaży
122103,"Kierownik przedsiębiorstwa świadczącego usługi z zakresu marketingu i sprzedaży Zarządza i koordynuje pracę w przedsiębiorstwie świadczącym usługi z zakresu marketingu i sprzedaży; opracowuje i wdraża strategię i plany krótko-, średnio- 
i długoterminowe przedsiębiorstwa; odpowiada za realizację celów strategicznych; zarządza podległym zespołem."
122104,Kierownik do spraw marketingu internetowego Opracowuje strategię marketingu internetowego organizacji; nadzoruje jej wdrożenie i monitoruje skuteczność; kreuje wizerunek marki na rynku za pośrednictwem mediów elektronicznych; organizuje i przeprowadza badania rynku; planuje budżet marketingu internetowego; zarządza współpracą z dostawcami usług; zarządza podległym zespołem.
122105,Kierownik do spraw marketingu sieciowego (wielopoziomowego) Opracowuje strategię marketingu sieciowego organizacji; nadzoruje jej wdrożenie i monitoruje skuteczność; kreuje wizerunek marki na rynku; organizuje i przeprowadza badania rynku; planuje budżet marketingu sieciowego; zarządza współpracą z dostawcami usług; zarządza podległym zespołem.
122106,Regionalny kierownik sprzedaży Zarządza zespołem sprzedaży na danym obszarze; realizuje politykę handlową firmy w powierzonym regionie; projektuje i przydziela plany sprzedażowe i plany marż oraz nadzoruje ich wykonanie; zarządza zespołem sprzedażowym; buduje i utrzymuje relacji z klientami firmy; monitoruje i analizuje działania konkurencji w regionie
122107,Kierownik domu aukcyjnego Opis w opracowaniu Opis w opracowaniu Opis w opracowaniu
122190,Pozostali kierownicy do spraw marketingu i sprzedaży Opis w opracowaniu Opis w opracowaniu
122201,"Kierownik agencji reklamowej Zarządza i koordynuje pracą w agencji reklamowej; opracowuje i wdraża strategię i plany krótko-, średnio- i długoterminowe agencji; odpowiada za realizację celów finansowych agencji; zarządza podległym zespołem."
122202,Kierownik działu reklamy / promocji / public relations Opracowuje strategię promocji organizacji i jej obecności w mediach; nadzoruje wdrożenie strategii i monitoruje jej skuteczność; koordynuje działania reklamowe / promocyjne / public relations; kreuje wizerunek marki na rynku; planuje budżet promocyjny; zarządza współpracą z dostawcami usług; zarządza podległym zespołem pracowników.
122290,Pozostali kierownicy do spraw reklamy i public relations Opis w opracowaniu Opis w opracowaniu
122301,"Kierownik do spraw rozwoju produktu Zarządza procesem rozwoju produktu lub usługi we wszystkich fazach życia produktu: opracowywania, wdrażania do produkcji, komercjalizacji, dojrzałości 
i wycofania produktu z rynku; współpracuje z producentami, dystrybutorami 
i dostawcami zaangażowanymi w łańcuch dostaw produktu; buduje świadomość produktu wśród klientów; opracowuje strategię marketingową i plany sprzedaży produktu."
122302,"Kierownik działu badawczo-rozwojowego Kieruje pracami badawczo-rozwojowymi przedsiębiorstwa (organizacji) oraz przygotowaniem konstrukcyjnym i technologicznym produkcji, zgodnie 
z wytycznymi dyrekcji przedsiębiorstwa (organizacji) oraz w konsultacji 
z kierownikami innych wewnętrznych jednostek organizacyjnych, takimi jak: dział produkcji, marketingu, finansowy itp."
122390,Pozostali kierownicy do spraw badań i rozwoju Opis w opracowaniu Opis w opracowaniu
131101,"Kierownik produkcji w przedsiębiorstwie rolnym Odpowiada za planowanie i nadzór nad produkcją w przedsiębiorstwie rolnym,  w tym za proces produkcji, organizację pracy i kompleksowe zarządzanie podległym zespołem oraz za przestrzeganie przepisów bhp przy produkcji rolnej."
131102,"Kierownik przedsiębiorstwa usługowego związanego z leśnictwem Zarządza i koordynuje pracę przedsiębiorstwa specjalizującego się w usługach związanych z leśnictwem; kreuje, wdraża i kontroluje realizację planów krótko-, średnio- i długoterminowych; tworzy strategię przedsiębiorstwa; odpowiada za kontakty i pozyskiwanie klientów."
131103,"Kierownik w gospodarce leśnej Prowadzi gospodarkę leśną w nadleśnictwie na podstawie planu urządzenia lasu; odpowiada za stan lasu; zarządza i koordynuje pracami przedsiębiorstwa z zakresu gospodarki leśnej: nasiennictwa, szkółkarstwa, hodowli, ochrony i użytkowania lasu; opracowuje, wdraża i kontroluje realizację planów i strategii krótko-, średnio- i długoterminowych; odpowiada za kontakty i pozyskiwanie klientów."
131104,"Kierownik produkcji w  przedsiębiorstwie ogrodniczym Planuje, koordynuje i kontroluje działalność produkcyjną przedsiębiorstwa ogrodniczego; nadzoruje procesy planowania, uprawy i pielęgnacji rośliny w gruncie, pod osłonami i w obiektach zamkniętych; opracowuje budżet przedsiębiorstwa ogrodniczego; odpowiada za realizację założonych celów finansowych; zarządza pracownikami przedsiębiorstwa ogrodniczego."
131105,"Kierownik produkcji w  przedsiębiorstwie hodowlanym Planuje, koordynuje i nadzoruje działalność produkcyjną przedsiębiorstwa hodowlanego; nadzoruje procesy planowania, chowu, hodowli i sprzedaży zwierząt hodowlanych; opracowuje budżet przedsiębiorstwa hodowlanego; odpowiada za realizację założonych celów finansowych; zarządza pracownikami przedsiębiorstwa hodowlanego."
131190,Pozostali kierownicy produkcji w rolnictwie i leśnictwie Opis w opracowaniu Opis w opracowaniu
131201,"Kierownik produkcji w zakładach akwakultury Odpowiada za planowanie i nadzór na produkcją w zakładzie akwakultury; odpowiada za proces produkcji, organizację pracy i kompleksowe zarządzanie podległym zespołem; odpowiada za przestrzeganie przepisów zoohigieny przy produkcji w zakładzie akwakultury."
131202,"Kierownik przedsiębiorstwa w rybołówstwie Kieruje działalnością przedsiębiorstwa w rybołówstwie; opracowuje i wdraża strategię i plany krótko-, średnio- i długoterminowe przedsiębiorstwa; odpowiada za realizację celów strategicznych; zarządza podległym zespołem."
131290,Pozostali kierownicy produkcji w zakładach akwakultury i rybołówstwie Opis w opracowaniu Opis w opracowaniu
132102,"Kierownik do spraw kontroli jakości Zapewnia wysoką efektywność funkcjonowania systemów zarządzania jakością 
w organizacji; koordynuje opracowywanie i przestrzeganie procedur 
i mechanizmów zarządzania jakością; organizuje i nadzoruje szkolenia dla pracowników w zakresie zapewniania jakości."
132103,"Kierownik produkcji w przemyśle Planuje, organizuje i nadzoruje przebieg procesów produkcji w różnych gałęziach przemysłu przetwórczego; zarządza podległym zespołem pracowników produkcyjnych. określanie, realizowanie i monitorowanie strategii produkcji;przygotowywanie średnio- i długookresowych planów produkcji z uwzględnieniem zapotrzebowania na produkty, czasochłonności i kosztów ich wytwarzania oraz zasobów osobowych;opracowywanie szczegółowego harmonogramu realizacji zadań produkcyjnych z uwzględnieniem hierarchii zamówień według ich ważności i wielkości;określanie zapotrzebowania na materiały, surowce, półprodukty, detale;organizacja i kontrola procesu produkcji, w tym terminowej realizacji planów produkcyjnych;organizacja pracy podległych pracowników i nadzór nad jej przebiegiem;monitorowanie procesów produkcyjnych w zakresie jakości, wydajności oraz spełniania wymogów dotyczących bezpieczeństwa i higieny pracy;kontrolowanie sporządzania ewidencji produkcji i rozliczeń produkcyjnych;analizowanie wydajności, kosztów i jakości produkcji oraz inicjowanie działań poprawiających jej efektywność;współpraca z innymi kierownikami w sprawach związanych z produkcją;nadzorowanie rekrutacji, szkolenia i osiągnięć pracowników. Brak"
132104,"Kierownik małego przedsiębiorstwa w przemyśle przetwórczym W imieniu własnym lub w imieniu właściciela planuje, kieruje i koordynuje działalność przedsiębiorstwa produkcyjnego zatrudniającego od 10 do 49 pracujących, które zajmuje się wytwarzaniem różnego rodzaju wyrobów, półproduktów i surowców."
132105,"Kierownik utrzymania ruchu Odpowiada za zapewnianie ciągłości procesów produkcyjnych; koordynuje i nadzoruje bieżącą konserwację maszyn i urządzeń produkcyjnych i ich naprawy; opracowuje harmonogram okresowych przeglądów technicznych oraz kontroluje wypełnianie zawartych w nim terminów; gromadzi i archiwuje dokumentację techniczną wykorzystywanych na terenie przedsiębiorstwa maszyn i urządzeń, a także odpowiada za aktualizowanie dokumentacji zgodnie ze stanem faktycznym; zarządza pracami działu utrzymania ruchu, koordynuje jego działania i wyznacza cele poszczególnym pracownikom."
132190,Pozostali kierownicy do spraw produkcji przemysłowej Opis w opracowaniu Opis w opracowaniu
132201,"Kierownik działu ruchu zakładu górniczego lub zakładu Wykonuje czynności kierownika albo zastępcy kierownika działu ruchu zakładu górniczego albo zakładu w poszczególnych rodzajach zakładów górniczych; organizuje i kieruje działem ruchu zakładu górniczego w zakresie: wykonywania działalności objętej koncesją, oznaczania terenu zakładu, zapewniania bezpieczeństwa powszechnego, bezpieczeństwa pożarowego, bezpieczeństwa osób przebywających w dziale ruchu zakładu górniczego, racjonalnej gospodarki złożem, ochrony elementów środowiska, ochrony obiektów budowlanych oraz zapobiegania szkodom i ich naprawy."
132202,"Kierownik jednostki ratownictwa górniczego Organizuje i kieruje służbami ratownictwa górniczego w zakładzie górniczym, Centralnej Stacji Ratownictwa Górniczego lub w innym podmiocie zawodowo trudniącym się wykonywaniem czynności w zakresie ratownictwa górniczego; planuje, koordynuje i prowadzi działania interwencyjne w każdym przypadku awarii w kopalniach głębinowych, otworowych i odkrywkowych; podejmuje działalność profilaktyczną, zmierzającą do ochrony ludzi i stanowisk pracy przed skutkami zjawisk zagrażających ich bezpieczeństwu."
132204,"Kierownik ruchu zakładu górniczego lub zakładu Wykonuje czynności kierownika oraz zastępcy kierownika ruchu zakładu górniczego lub zakładu w czynnych albo likwidowanych zakładach górniczych, w których strukturze organizacyjnej nie wydzielono odrębnego działu ruchu; organizuje i prowadzi ruch zakładu górniczego w zakresie: wykonywania działalności objętej koncesją, oznaczania terenu zakładu, zapewniania bezpieczeństwa powszechnego, bezpieczeństwa pożarowego, bezpieczeństwa osób przebywających w dziale ruchu zakładu górniczego (w tym w zakresie dotyczącym bezpieczeństwa i higieny pracy), racjonalnej gospodarki złożem, ochrony elementów środowiska, ochrony obiektów budowlanych oraz zapobiegania szkodom i ich naprawy."
132290,Pozostali kierownicy w górnictwie Opis w opracowaniu Opis w opracowaniu
132301,Kierownik budowy
