code,var,desc
111201,skills,zasady budżetowe; utrzymywać relacje z agencjami rządowymi; zarządzać wdrażaniem polityki publicznej; zarządzać budżetem; zapewniać współpracę między wydziałami; procedura legislacyjna; pełnić rolę przywódczą; pośredniczyć w kontaktach z politykami; zarządzać pracą; znajdować rozwiązania problemów; zarządzać personelem; wdrażanie polityki publicznej; opracowywać plany działania służące rozwiązywaniu problemów; pośredniczyć w kontaktach z organami na szczeblu lokalnym; nadzorować pracowników; planować cele średnio- i długoterminowe; szacować czas pracy; planować pracę zespołową prawo publiczne; stosować myślenie strategiczne; prowadzić prezentacje publiczne; techniki rachunkowości; rekrutować pracowników; koordynować wydarzenia; analizować problemy i możliwości; zasady zarządzania projektami; zarządzać księgami rachunkowymi; sporządzać sprawozdania z posiedzeń; udzielać pomocy obywatelom danego państwa; zarządzać projektem; zajmować się planowaniem zasobów; finanse publiczne; ustalać harmonogram spotkań; prowadzić rejestr wykonywanych zadań; zapewniać przejrzystość informacji; tworzyć sieć specjalistów w danej dziedzinie; sporządzać meldunki sytuacyjne
111202,occupation_name,wyższy urzędnik placówki dyplomatycznej
111202,occupation_alternative_names,dyplomata; wysoki komisarz; attaché; dyplomata ONZ; wysłanniczka; chargé d’affaires; wysłannik
111202,occupation_description,"Wyżsi urzędnicy placówki dyplomatycznej reprezentują swój kraj i rząd w organizacjach międzynarodowych. Negocjują z urzędnikami organizacji w zakresie ochrony interesów kraju pochodzenia, a także ułatwiają owocną i przyjazną komunikację między krajem pochodzenia a organizacją międzynarodową."
111202,skills,prowadzić negocjacje polityczne; utrzymywać relacje z agencjami rządowymi; zasady kształtowania stosunków dyplomatycznych; opracowywać strategie współpracy międzynarodowej; oceniać czynniki ryzyka; posługiwać się różnymi językami w mowie; nawiązywać relacje sprzyjające współpracy; podejmować decyzje dyplomatyczne; analizować problemy i możliwości; monitorować zmiany w państwach trzecich; stosować techniki zarządzania kryzysowego w dyplomacji; sprawy zagraniczne; stosować zasady dyplomatyczne; budować stosunki międzynarodowe; wykazywać się wrażliwością na kwestie międzykulturowe; koordynować działania rządu w instytucjach zagranicznych; reprezentować interesy kraju; reprezentowanie rządu wdrażanie polityki publicznej; myśleć analitycznie; doradzać w kwestii zarządzania ryzykiem; zarządzać wdrażaniem polityki publicznej; zapewniać współpracę między wydziałami; doradzać w kwestii polityki zagranicznej; tworzyć sieć specjalistów w danej dziedzinie; prawo międzynarodowe; kształtowanie polityki w obszarze spraw zagranicznych; doradzać w kwestii aktów ustawodawczych; ułatwiać wypracowywanie oficjalnych porozumień; przedstawiać argumenty w przekonujący sposób; stosować zasady zarządzania konfliktami; analizować politykę zagraniczną; chronić interesy klientów; odpowiadać na pytania
121101,occupation_name,główny księgowy
121101,occupation_alternative_names,główna księgowa; specjalista ds. rachunkowości i księgowości; specjalista ds. księgowości; specjalista ds. rachunkowości; księgowa; dyrektor finansowy; księgowy
121101,occupation_description,"Główni księgowi przyjmują na siebie odpowiedzialność za wszystkie działania rachunkowe związane ze sprawozdawczością finansową. Opracowują i utrzymują zasady i procedury rachunkowości w celu zapewnienia terminowego i dokładnego sporządzania sprawozdań finansowych, nadzorują pracowników księgowości i zarządzają działalnością księgową w odpowiednich ramach czasowych i w odpowiednim budżecie."
121101,skills,"analiza finansowa; zarządzać księgami rachunkowymi; międzynarodowe standardy sprawozdawczości finansowej; amortyzacja; opracowywać procedury księgowe; procedury obowiązujące w dziale finansowym; przestrzegać zobowiązań ustawowych; podejmować wysiłki na rzecz zapewnienia rozwoju przedsiębiorstwa; ogólnie przyjęte krajowe zasady rachunkowości; udzielać wsparcia przy opracowywaniu rocznego budżetu; przepisy podatkowe; sprawozdania finansowe; analizować tendencje na rynkach finansowych; przestrzegać norm przedsiębiorstwa; procedury stosowane w dziale księgowości; społeczna odpowiedzialność przedsiębiorstw; zapewniać zgodność z zasadami rachunkowości; monitorować, czy przedsiębiorstwo będzie kontynuować działalność; kontrolować dokumentację księgową; zapewniać przestrzeganie kryteriów ujawniania informacji księgowych; czuwać nad finansami; zarządzanie finansami; kierować się założeniami strategicznymi w codziennej pracy; zapisy księgowe; nadzorować operacje księgowe; planować procedury w zakresie zdrowia i bezpieczeństwa; interpretować sprawozdania finansowe; wyjaśniać zapisy ksiąg rachunkowych; wykrywanie oszustw; analizować wyniki finansowe przedsiębiorstwa; egzekwować zgodność z polityką finansową; opracowywać plan finansowy; oceniać budżety pośredniczyć w kontaktach z audytorami; przygotowywać sprawozdania finansowe; przygotowywać sprawozdania z audytów finansowych; pośredniczyć w kontaktach ze sponsorami; statystyka; obliczać wysokość podatku; pośredniczyć w kontaktach z kadrą zarządzającą; doradzać w kwestiach finansowych; zarządzać księgą główną; doradzać w zakresie planowania podatkowego; udzielać informacji na temat przepisów podatkowych; zarządzanie płynnością; finanse publiczne; podejmować działania w zakresie rachunkowości zarządczej; dokonywać przypisań na rachunku; podejmować strategiczne decyzje biznesowe; załączać certyfikaty księgowe do transakcji księgowych; prognozy finansowe; podejmować działania ponaglające; informować o obowiązkach podatkowych; przewidywać ryzyko organizacyjne; doradzać w kwestii finansów publicznych; zarządzać personelem; doradzać w zakresie postępowania upadłościowego; przygotowywać formularze podatkowe; przepisy w zakresie prowadzenia ksiąg rachunkowych"
121103,occupation_name,dyrektor finansowy
121103,occupation_alternative_names,dyrektor ds. finansowych
121103,occupation_description,"Dyrektorzy finansowi zajmują się wszystkimi kwestiami w odniesieniu do finansowania i inwestycji przedsiębiorstwa. Zarządzają operacjami finansowymi przedsiębiorstwa, takimi jak aktywa, zobowiązania, kapitał własny i przepływ środków pieniężnych, aby utrzymać kondycję finansową przedsiębiorstwa i jego operacyjnej rentowności. Dyrektorzy finansowi oceniają plany strategiczne przedsiębiorstwa pod względem finansowym, prowadzą przejrzyste operacje finansowe dla organów podatkowych i kontrolnych oraz sporządzają sprawozdania finansowe przedsiębiorstwa pod koniec roku podatkowego."
121103,skills,"zarządzanie finansami; egzekwować zgodność z polityką finansową; planować procedury w zakresie zdrowia i bezpieczeństwa; sprawozdania finansowe; analizować tendencje na rynkach finansowych; przestrzegać norm przedsiębiorstwa; doradzać w kwestiach finansowych; opracowywać plan finansowy; analiza finansowa; podejmować wysiłki na rzecz zapewnienia rozwoju przedsiębiorstwa; pośredniczyć w kontaktach z kadrą zarządzającą; analizować wyniki finansowe przedsiębiorstwa kontrolować zasoby finansowe; społeczna odpowiedzialność przedsiębiorstw; współpracować z członkami społeczności; sprawować kontrolę nad wydatkami; wyznaczać mierzalne cele marketingowe; jurysdykcja organu nadzoru finansowego; podejmować strategiczne decyzje biznesowe; przeprowadzać analizy zadłużenia; analizować potrzeby społeczności; techniki wyceny przedsiębiorstw; szkolić pracowników; monitorować portfel kredytowy; oszacowywać wartość papierów wartościowych; zarządzać wnioskami o pożyczkę; doradzać w zakresie ratingów kredytowych; doradzać w zakresie strategii komunikacyjnych; prowadzić rejestr zadłużenia klientów; zarządzać księgą główną; przepisy w zakresie bezpieczeństwa pożarowego; budować relacje biznesowe; zarządzać bazą danych dawców; zapewniać zadowolenie klientów; zarządzać personelem; zarządzać rozpatrywaniem roszczeń; zarządzanie kosztami; doradzać w kwestiach inwestycji; kontaktować się z potencjalnymi dawcami; przewidywać ryzyko organizacyjne; przedstawiać sprawozdania; opracowywać warunki współpracy; analizować ryzyko finansowe; opracowywać narzędzia promocyjne; opracowywać strategie w zakresie public relations; zarządzanie płynnością; kontrolować dokumentację księgową; wyjaśniać zapisy ksiąg rachunkowych; przeprowadzać audyty finansowe; informować o stopach procentowych; opracowywać produkty finansowe; przepisy podatkowe; procedury obowiązujące w dziale finansowym; analiza inwestycyjna; pośredniczyć w kontaktach z właścicielami nieruchomości; zajmować się zarządzaniem umowami najmu; kierować się etycznym kodeksem postępowania w biznesie; monitorować rynek akcji; uwzględniać interesy udziałowców przy opracowywaniu planów biznesowych; dokonywać odpisów aktywów; oceniać budżety; brać udział w targach; ujmować aktywa; rozpatrywać wnioski dotyczące zabezpieczenia społecznego; podejmować decyzje w sprawie wniosków ubezpieczeniowych; analizować pożyczki; prawo dotyczące niewypłacalności; opracowywać procedury księgowe; wdrażać operacyjne plany biznesowe; analizować źródła informacji; zgłaszać konieczność przeprowadzenia poważnego remontu budynku; zarządzać personelem; udzielać informacji na temat przepisów podatkowych; zasady ubezpieczania; rynek ubezpieczeń; opracowywać strategie przedsiębiorstwa; dbać o to, by produkt końcowy spełniał stosowne wymogi; pośredniczyć w kontaktach z członkami zarządu; metody przeprowadzania sondaży; planować wykorzystanie przestrzeni; etyka; analizować historię kredytową potencjalnych klientów; zapewniać odpowiednie zarządzanie dokumentacją; zapewniać przestrzeganie kryteriów ujawniania informacji księgowych; strategie sprzedażowe; przenoszenie ryzyka; monitorować punktową ocenę kredytową; zapewniać przejrzystość informacji; opracowywać politykę ubezpieczeniową; oceniać stan budynków; objaśniać kwestie techniczne; zarządzać rentownością; udzielać porad inwestycyjnych; rozwijać politykę produktową; pośredniczyć w kontaktach ze sponsorami; przygotowywać formularze podatkowe; obsługa klienta; opracowywać plany biznesowe; zarządzać działaniami w obszarze pozyskiwania środków; podejmować działania w zakresie rachunkowości zarządczej; opracowywać komunikaty prasowe; zasady budżetowe; delegować działania; przeprowadzać badania strategiczne; koordynować wydarzenia; zatrudniać nowych pracowników; rozwiązywać problemy związane z rachunkami bankowymi; doradzać w kwestiach wartości nieruchomości; obliczać wysokość podatku; procedury dochodzenia roszczeń; sprzedawać ubezpieczenia; realizować politykę public relations; monitorować prace zleceniobiorców; analizować potrzeby ubezpieczeniowe; sporządzać wykaz elementów w ramach nieruchomości; przyjmować odpowiedzialność za zarządzanie przedsiębiorstwem; sporządzać studium wykonalności; finanse publiczne; ubiegać się dofinansowanie z funduszu rządowego; zasady marketingu; zarządzać działalnością unii kredytowej; zapewniać zgodność działalności przedsiębiorstwa z prawem; prowadzić obrót papierami wartościowymi; przeprowadzać badania rynku nieruchomości; sporządzać budżet służący zaspokojeniu potrzeb finansowych; wdrażać plany strategiczne; czuwać nad finansami; dokonywać przeglądu portfeli inwestycyjnych; podejmować działania w zakresie pozyskiwania funduszy; tworzyć sieć specjalistów w danej dziedzinie; informować o obowiązkach podatkowych; prawo ubezpieczeniowe; dokonywać syntezy informacji finansowych; monitorować wydatki publiczne; obsługiwać przychodzące roszczenia ubezpieczeniowe; opracowywać plan audytu; nadzorować realizację projektów deweloperskich; oceniać wiarygodność danych; zapewniać przestrzeganie regulaminu firmy; gromadzić dane finansowe; planować kampanie marketingowe; interpretować sprawozdania finansowe; kontrolować zgodność budowy z obowiązującymi przepisami; postępować zgodnie z polityką ryzyka kredytowego; przygotowywać sprawozdania finansowe; załączać certyfikaty księgowe do transakcji księgowych; obsługiwać transakcje finansowe; zarządzać zamówieniami; analizować procesy biznesowe; metody finansowania; organizować ocenę szkód; sporządzać sprawozdania z wyceny; opracowywać wytyczne w zakresie ubezpieczania; analizować czynniki wewnętrzne dotyczące przedsiębiorstw; określać warunki udzielenia pożyczki; sprawować nadzór nad budżetem placówki przeznaczonym na świadczenie usług; śledzić transakcje finansowe; prawo umów; techniki reklamowe; przekazywać założenia planów biznesowych współpracownikom; systemy dłużne; prawo spółek; rodzaje ubezpieczeń; zarządzać rachunkami bankowymi przedsiębiorstwa; kredyty hipoteczne; dokonywać przeglądu procedur zamknięcia; oceniać wydajność współpracowników organizacji; przeprowadzać analizę ryzyka; podejmować decyzje inwestycyjne; zarządzać budżetem; nadzorować operacje księgowe; rynek nieruchomości; przeprowadzać badanie rynku; przygotowywać sprawozdania kredytowe; analizować ratingi kredytowe; pełnić godną naśladowania rolę przywódczą w organizacji; organizować oględziny nieruchomości; obliczać wysokość dywidendy; zarządzać systemami administracyjnymi; doradzać w zakresie postępowania upadłościowego; przekazywać informacje na temat produktów finansowych; ogólnie przyjęte krajowe zasady rachunkowości; zasady zarządzania w biznesie; oszacowywać szkody; sporządzać statystyczne sprawozdania finansowe; amortyzacja; przygotowywać sprawozdania z badań rynkowych; wykonywać zadania biurowe; wyciągać wnioski z wyników badań rynku; gromadzić informacje finansowe dotyczące nieruchomości; klasyfikacja długu; kontrolować wykonawców; nauki aktuarialne; public relations; zajmować się kwestiami związanymi ze zmianą najemców; analizować plany biznesowe; pobierać opłaty czynszowe; giełda; komunikować się z najemcami; prowadzić dokumentację finansową; zarządzać dokumentacją związaną z roszczeniami; rynki finansowe; identyfikować potrzeby klientów; koordynować działania w ramach planów marketingowych; przestrzegać zobowiązań ustawowych; prowadzić rozmowę zachęcającą do zakupu; rekrutować pracowników; monitorować procedury w zakresie tytułów własności; udzielać wsparcia przy opracowywaniu rocznego budżetu; reprezentować organizację; przekazywać sprawozdania dotyczące analizy kosztów i korzyści; zapewniać współpracę między wydziałami; rodzaje rent i emerytur; zapisy księgowe; doradzać w kwestii finansów publicznych; zarządzać księgami rachunkowymi; zajmować się sporami finansowymi; opracowywać projekt produktu; orientować się w bieżącej sytuacji politycznej; udzielać wsparcia przy obliczeniach finansowych; promować produkty finansowe; zawierać umowy handlowe; produkty finansowe; doradzać w kwestii polityki podatkowej; zarządzać obsługą materiałów promocyjnych; przekazywać informacje na temat nieruchomości; udzielać informacji dotyczących finansowania publicznego; zarządzanie marketingiem; monitorować stan gospodarki krajowej; wykrywanie oszustw; angażować się w bieżącą działalność przedsiębiorstwa; przepisy dotyczące lokali socjalnych; zarządzać wolontariuszami; zasady wznoszenia budynków; prowadzić historię kredytową klientów; zakładać konta bankowe; informować o umowach wynajmu; analizować ryzyko ubezpieczeniowe; komunikować się z klientami; koordynować wysiłki na rzecz rozwoju przedsiębiorstwa; doradzać w zakresie planowania podatkowego; określać potrzeby klientów; oceniać wiarygodność klienta; rekrutować pracowników do produkcji; dokonywać przeglądu procesu ubezpieczeniowego; zarządzać ryzykiem finansowym; przygotowywać sprawozdania z audytów finansowych; chronić interesy klientów; organizować konferencje prasowe; rozstrzygać spory umowne; procesy monitoringu kredytowego; pozyskiwać nowych klientów; współczesna teoria portfelowa; pośredniczyć w kontaktach z audytorami; rozpatrywać reklamacje od klientów; pośredniczyć w kontaktach z udziałowcami; ekonomia; gromadzić informacje finansowe; utrzymywać relacje z klientami; kierować się założeniami strategicznymi w codziennej pracy; prowadzić rejestr transakcji finansowych; księgowość; prawo rzeczowe; negocjować umowy pożyczki; międzynarodowe standardy sprawozdawczości finansowej; dokonywać przypisań na rachunku; rządowe programy zabezpieczenia społecznego; emisja publiczna; negocjować z właścicielami nieruchomości; analizować czynniki zewnętrzne dotyczące przedsiębiorstw; charakterystyka energetyczna budynków; pośredniczyć w kontaktach z agencjami reklamowymi; wyceniać nieruchomości; pożyczki udzielane przedsiębiorstwom; sporządzać sprawozdania dotyczące ogólnego zarządzania przedsiębiorstwem; opracowywać dane statystyczne do celów ubezpieczeniowych; zarządzać papierami wartościowymi; szacować rentowność; statystyka; ustalać harmonogram spotkań; polityki obowiązujące w przedsiębiorstwach; komunikować się ze specjalistami w dziedzinie bankowości; kierować pracami osób rozpatrujących roszczenia; zarządzać programami finansowanymi ze środków publicznych; przygotowywać materiały na potrzeby procesu decyzyjnego; dbać o reputację banku; analizować cele biznesowe; prognozy finansowe; zarządzanie obsługą klienta; zapewniać zgodność z zasadami rachunkowości; negocjować z zainteresowanymi stronami; oceniać czynniki ryzyka; koordynować działania operacyjne; planować zarządzanie produktem; kształtować kulturę korporacyjną; porównywać wartość nieruchomości; budować relacje w ramach społeczności; zarządzać projektem; sporządzać sprawozdania finansowe; techniki windykacji należności; procedury stosowane w dziale księgowości; obsługiwać instrumenty finansowe; techniki rachunkowości; opracowywać politykę kredytową; podejmować działania ponaglające; doradzać w kwestii zarządzania ryzykiem; udzielać wsparcia przy wnioskach o pożyczkę; nadzorować pracowników; opracowywać portfel inwestycyjny; obliczać wysokość stawki na ubezpieczenie; pośredniczyć w kontaktach z organami na szczeblu lokalnym; działalność bankowa; oceniać rentowność; papiery wartościowe; waluty obce; monitorować, czy przedsiębiorstwo będzie kontynuować działalność; komunikacja elektroniczna; przepisy w zakresie prowadzenia ksiąg rachunkowych; oferować usługi finansowe; sporządzać wnioski o przyznanie dotacji na cele charytatywne; opracowywać strukturę organizacyjną; kodeksy budowlane; negocjować wartość aktywów; sporządzać sprawozdania na temat ryzyka; doradzać w kwestiach rachunku bankowego; badanie rynku; współwłasność składników majątku; nadzorować działania związane ze sprzedażą; inicjować proces występowania z roszczeniem; analizować dokumenty związane z roszczeniami; koordynować kampanie reklamowe; handel międzynarodowy; przygotowywać plany prac konserwacyjnych w budynku"
121302,occupation_name,kierownik do spraw strategii i planowania
121302,occupation_alternative_names,kierownik ds. zrównoważonego rozwoju; specjalista ds. etyki biznesu; kierownik ds. strategicznych; kierownik ds. polityki; kierownik ds. rzecznictwa; koordynator ds. rzecznictwa; kierownik ds. polityki środowiskowej; kierownik ds. zgodności z przepisami; kierownik ds. usług technicznych
121302,occupation_description,"Kierownicy do spraw strategii i planowania są odpowiedzialni za zarządzanie opracowywaniem programów polityki i zapewnianie realizacji strategicznych celów organizacji. Nadzorują oni tworzenie stanowisk polityki, a także prowadzoną przez organizację kampanię i rzecznictwo w takich dziedzinach jak ochrona środowiska, etyka, jakość, przejrzystość i zrównoważony rozwój."
121302,skills,opracowywać strategie przedsiębiorstwa; kierować się założeniami strategicznymi w codziennej pracy; społeczna odpowiedzialność przedsiębiorstw; monitorować politykę przedsiębiorstwa; doradzać w zakresie poprawy efektywności; zapewniać zgodność z założeniami polityki; strategie organizacyjne; planowanie strategiczne; analiza biznesowa podejmować strategiczne decyzje biznesowe; opracowywać kampanie w ramach rzecznictwa; zarządzać budżetem; krzewić wizjonerskie aspiracje wśród kadry zarządzającej przedsiębiorstwem; zasady zarządzania w biznesie; procedury obowiązujące w dziale zasobów ludzkich; przedstawiać zalecenia dotyczące sposobów udoskonalenia wyrobu; nadzorować działania w zakresie rzecznictwa; zarządzanie ryzykiem; usprawniać procesy biznesowe; wdrażać w działaniach lokalnych wytyczne opracowane w siedzibie głównej; koordynować działania w obszarze środowiska; komunikować się ze specjalistami w dziedzinie bankowości; procedury obowiązujące w dziale zarządzania; wskazywać dostawców; koordynować procedury gospodarowania odpadami; monitorować zgodność z umowami licencyjnymi; przedstawiać propozycje badań biznesowych; doradzać w kwestiach finansowych; doradzać w kwestii decyzji prawnych; wspierać działania na rzecz wymiany informacji w ramach organizacji; zapewniać zgodność z przepisami środowiskowymi; zapewniać zgodność produktów z wymogami regulacyjnymi; modele danych; przetwarzać przekazane instrukcje; promować świadomość środowiskową; statystyka; opracowywać materiały w ramach rzecznictwa; realizować plany działania na rzecz ochrony środowiska; doradzać w kwestiach środowiskowych związanych z działalnością górniczą; opracowywać umowy licencyjne; przestrzegać zobowiązań ustawowych; eksploracja danych; polityka ochrony środowiska; przeprowadzać badania biznesowe; zdrowie publiczne; handel międzynarodowy; analizować procesy produkcyjne pod kątem ich udoskonalenia; SAS language; oceniać wpływ działalności związanej z wodami gruntowymi na środowisko; zapobieganie zanieczyszczeniom; procedury obowiązujące w dziale operacji; analizować strategie dotyczące łańcucha dostaw; przeprowadzać analizę danych; rozwiązania business intelligence; procedury obowiązujące w dziale sprzedaży; aktualizować licencje; dostarczać rozwiązania usprawniające pracę; przepisy podatkowe; procedury stosowane w dziale księgowości; stosować myślenie strategiczne; interpretować informacje biznesowe; zapewniać przestrzeganie wymogów prawnych; angażować się w bieżącą działalność przedsiębiorstwa; identyfikować niewykryte potrzeby organizacyjne; śledzić innowacje w różnych obszarach działalności gospodarczej; prowadzić badania terenowe; polityka publiczna; opracowywać politykę ochrony środowiska; opracowywać strategie naprawy szkód w środowisku; zarządzać wiedzą biznesową; wdrażać zarządzanie strategiczne; zagrożenia środowiskowe; procedury obowiązujące w dziale marketingu; zarządzanie projektami; zarządzać pozwoleniami na przywóz i wywóz; pośredniczyć w kontaktach z politykami; zarządzać strategiami w zakresie rzecznictwa; koordynować politykę środowiskową lotniska; patenty; oceniać wydajność współpracowników organizacji; analizować dane środowiskowe; rozpowszechniać komunikaty wewnętrzne; oprogramowanie systemowe do analizy statystycznej; przeprowadzać audyty środowiskowe; opracowywać polityki organizacyjne; wdrażać operacyjne plany biznesowe; gromadzić informacje zwrotne od pracowników; zarządzanie łańcuchem dostaw; zarządzać wskaźnikami projektu; wdrażać plany strategiczne; gospodarka odpadami; zapewniać przestrzeganie regulaminu firmy; spełniać wymogi ustanowione przez podmioty prawne; prawo autorskie; interpretować wymogi techniczne; tworzyć w miejscu pracy atmosferę sprzyjającą ustawicznemu doskonaleniu zawodowemu; analizować wykonalność; przepisy dotyczące zanieczyszczeń; doradzać w kwestii procedur gospodarowania odpadami; produkty finansowe; procedury obowiązujące w dziale finansowym; przeprowadzać analizę biznesową; doradzać w zakresie strategii komunikacyjnych; szkolić pracowników; obserwować zachowanie klienta; prawo spółek; strategie sprzedażowe; podstawy inżynierii; przekazywać założenia planów biznesowych współpracownikom; korzystać z technik konsultacyjnych; udzielać wsparcia kierownikom; przepisy dotyczące zdrowia i bezpieczeństwa; prawo ochrony środowiska; analizować środowisko ICT organizacji; porządkować dokumenty handlowe; modelowanie procesów biznesowych; procedury obowiązujące w dziale prawnym; opracowywać strategie generowania zysków; koordynować wysiłki na rzecz rozwoju przedsiębiorstwa; organy ścigania; udzielać porad prawnych; doradzać w kwestii polityki podatkowej; udzielać wskazówek kierownikom działów przedsiębiorstwa; egzekwować zgodność z polityką finansową; opracowywać standardy organizacyjne; śledzić kluczowe wskaźniki skuteczności działania; projekty dotyczące dzikiej przyrody; normy jakości; działalność bankowa; przygotować umowy licencyjne; prawo własności intelektualnej; gromadzić informacje techniczne; polityki obowiązujące w przedsiębiorstwach; składać sprawozdania dotyczące zagadnień środowiskowych; jurysdykcja organu nadzoru finansowego; kontaktować się z naukowcami; identyfikować wymogi prawne; analizować dane naukowe; analizować przepisy; dokonywać przeglądu projektów sporządzonych przez kadrę zarządzającą; przepisy w zakresie ochrony środowiska na lotniskach; pośredniczyć w kontaktach z urzędnikami państwowymi; przeprowadzać badanie rynku; doradzać w kwestii naprawy szkód w środowisku; filozofia polegająca na ciągłym ulepszaniu; udzielać informacji zwrotnych dotyczących wykonywanej pracy; korzystać z różnych kanałów komunikacji; pośredniczyć w kontaktach z kadrą zarządzającą
121303,occupation_name,kierownik działu
121303,occupation_alternative_names,kierownik działu; koordynatorka departamentu; koordynator działu; koordynator departamentu; dyrektor departamentu
121303,occupation_description,"Kierownicy działów są odpowiedzialni za działalność niektórych działów lub wydziałów przedsiębiorstwa. Zapewniają oni osiągnięcie celów, a także zarządzanie pracownikami."
