kod,nazwa,synteza,zadania,zadania_zawodowe,zawodowe
141,Kierownicy w gastronomii i hotelarstwie,"Kierownicy w gastronomii i hotelarstwie planują, organizują i nadzorują działalność przedsiębiorstw, które świadczą usługi noclegowe, gastronomiczne i inne usługi hotelowe.",,"Zadania wykonywane w tej grupie obejmują: planowanie i organizowanie specjalnych uroczystości, działalności w zakresie sportu, gier hazardowych i rozrywki; kierowanie działaniami w zakresie rezerwacji, przyjmowania gości, obsługi pokojowej i utrzymywania porządku oraz nadzorowanie tych działań; przestrzeganie przepisów dotyczących alkoholu, gier hazardowych i ochrony zdrowia oraz innych przepisów i uregulowań; monitorowanie jakości na wszystkich etapach przygotowywania oraz podawania potraw i świadczenia usług, kontrolowanie rekrutacji, szkolenia i nadzór pracowników; zapewnianie zgodności z przepisami bezpieczeństwa i higieny pracy. Do ich zadań należy również nadzorowanie innych pracowników.",
142,Kierownicy do spraw handlu detalicznego i hurtowego,"Kierownicy do spraw handlu detalicznego i hurtowego planują, organizują, koordynują i kontrolują działalność przedsiębiorstw, które prowadzą detaliczną lub hurtową sprzedaż towarów. Są oni odpowiedzialni za budżet, personel oraz strategiczny i operacyjny nadzór sklepów lub działów organizacyjnych w ramach sklepów, które prowadzą sprzedaż określonych rodzajów produktów.",,"Zadania wykonywane w tej grupie obejmują: określanie portfolio produktów, poziomu zapasów i standardów usług; formułowanie i wdrażanie strategii zakupów i strategii marketingowej oraz ustalanie cen; promowanie i reklamowanie towarów i usług oferowanych przez dane przedsiębiorstwo; prowadzenie rejestru poziomu zapasów i transakcji finansowych; planowanie budżetu podmiotu, kontrolowanie rekrutacji, szkolenia i nadzoru pracowników, zapewnianie zgodności z przepisami bezpieczeństwa i higieny pracy. Kierownicy do spraw handlu detalicznego i hurtowego są często zatrudniani w stosunkowo małych przedsiębiorstwach, które nie posiadają hierarchii kierownictwa. Do ich zadań należy również nadzorowanie innych pracowników.",
143,Kierownicy do spraw innych typów usług,"Kierownicy do spraw innych typów usług planują, organizują i kontrolują działalność przedsiębiorstw, które świadczą usługi sportowe, kulturalne, rekreacyjne, podróżnicze, usługi w zakresie kontaktów z klientami oraz inne usługi związane z udogodnieniami.",,"Zadania wykonywane w tej grupie obejmują: planowanie i sporządzanie ofert i portfolio świadczonych usług lub przeprowadzanych działań, zapewnianie utrzymania infrastruktury w czystości i dobrym stanie; zapoznawanie się z aktualnymi informacjami na temat nowych tendencji i kierunków rozwoju dotyczących świadczonych usług; doradzanie w zakresie dostępnej infrastruktury i planowania kampanii reklamowych; sprawdzanie i nadzorowanie wszystkich wpływów pieniężnych oraz przeprowadzanie regularnych kontroli zapasów; ustalanie budżetów i zarządzanie nimi; kontrolowanie wydatków i zapewnianie efektywnego wykorzystywania zasobów; planowanie codziennych działań i kierowanie nimi; kontrolowanie rekrutacji, nadzoru i osiągnięć pracowników; zapewnianie zgodności z przepisami bezpieczeństwa i higieny pracy. Do ich zadań należy również nadzorowanie innych pracowników.",
211,"Fizycy, chemicy i specjaliści nauk o Ziemi","Fizycy, chemicy i specjaliści nauk o Ziemi prowadzą badania, ulepszają lub opracowują koncepcje, teorie i metody operacyjne lub stosują wiedzę naukową z dziedzin takich, jak fizyka, astronomia, meteorologia, chemia, geologia i geofizyka.",,"Zadania wykonywane w tej grupie obejmują: zwiększanie wiedzy naukowej za pomocą badań i doświadczeń w obszarze mechaniki, termodynamiki, optyki, akustyki technicznej, elektryczności, magnetyzmu, elektroniki, fizyki jądrowej, astronomii, różnych gałęzi chemii, warunków atmosferycznych i cech fizycznych Ziemi, a także doradzanie w zakresie i stosowanie wiedzy w obszarach takich, jak przemysł, rolnictwo, medycyna, nawigacja, badanie przestrzeni kosmicznej, eksploatacja ropy, gazu, wody i kopalin, telekomunikacja i inne usługi oraz inżynieria lądowa; przygotowywanie dokumentacji naukowej i sprawozdań. Do ich zadań może także należeć nadzorowanie innych pracowników.",
212,"Matematycy, aktuariusze i statystycy","Matematycy, aktuariusze i statystycy prowadzą badania, ulepszają lub opracowują matematyczne, aktuarialne i statystyczne koncepcje, teorie oraz modele i techniki operacyjne, a także stosują tę wiedzę do celów wykonywania szerokiego zakresu zadań w obszarach takich, jak nauki techniczne, ekonomiczne, społeczne i inne.",,"Zadania wykonywane w tej grupie obejmują: analizowanie, ulepszanie i opracowywanie matematycznych, aktuarialnych i statystycznych teorii i technik; doradzanie w zakresie lub stosowanie zasad, modeli i technik matematycznych do celów wykonywania szerokiego zakresu zadań w obszarze nauk technicznych, społecznych lub fizyczno-przyrodniczych; przeprowadzanie analiz logicznych problemów w zakresie zarządzania, w szczególności pod kątem efektywności nakładów oraz formułowanie modeli matematycznych dla każdego problemu, zasadniczo do celów programowania i automatycznego rozwiązywania; opracowywanie i wprowadzanie programów emerytalnych oraz systemów ubezpieczeń życiowych, zdrowotnych, socjalnych i innych rodzajów ubezpieczeń; stosowanie matematyki, statystyki, prawdopodobieństwa i teorii ryzyka do celów oceny potencjalnych skutków finansowych przyszłych wydarzeń; planowanie i organizowanie sondaży i innych metod gromadzenia danych statystycznych oraz opracowywanie kwestionariuszy; ocenianie, przetwarzanie, analizowanie i interpretowanie danych statystycznych oraz ich przygotowywanie do publikacji; doradzanie w zakresie lub stosowanie różnych metod gromadzenia danych, metod i technik statystycznych oraz określanie wiarygodności wyników, w szczególności w obszarach takich jak: ekonomia i medycyna, a także obszarze nauk społecznych i fizyczno-przyrodniczych; przygotowywanie dokumentacji naukowej i sprawozdań; nadzorowanie prac asystentów do spraw matematycznych, asystentów do spraw aktuarialnych, asystentów do spraw statystycznych i pracowników do spraw statystycznych.",
213,Specjaliści nauk biologicznych i dziedzin pokrewnych,"Specjaliści nauk biologicznych i dziedzin pokrewnych stosują wiedzę zdobytą podczas badań w zakresie życia ludzi, zwierząt i roślin oraz ich wzajemnych interakcji i interakcji ze środowiskiem naturalnym w celu uzyskania nowej wiedzy, usprawnienia produkcji rolnej i leśnej oraz rozwiązania problemów człowieka związanych ze zdrowiem i środowiskiem.",,"Zadania wykonywane w tej grupie obejmują: gromadzenie, analizowanie i ocenianie danych doświadczalnych i danych zebranych w terenie w celu określenia i opracowania nowych procesów i technik; zapewnianie doradztwa i wsparcia władzom państwowym, organizacjom i przedsiębiorstwom w zakresie ekologicznego zrównoważonego rozwijania zasobów naturalnych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
214,Inżynierowie (z wyłączeniem elektrotechnologii),"Inżynierowie (z wyłączeniem elektrotechnologii) projektują, planują i organizują testowanie, budowanie, instalowanie i konserwowanie budynków, maszyn i ich części oraz systemów i zakładów produkcyjnych, a także sporządzają plany produkcji i opracowują procedury pracy w celu zapewnienia realizacji projektów technicznych w bezpieczny, efektywny i opłacalny sposób.",,"Zadania wykonywane w tej grupie obejmują: planowanie i opracowywanie systemów procesów chemicznych, projektów w zakresie inżynierii lądowej, urządzeń i systemów mechanicznych, działań wydobywczych i wiertniczych oraz innych projektów technicznych; ustalanie i interpretowanie rysunków i planów oraz określanie metod budowy; nadzorowanie budowy obiektów, systemów dostarczania i transportu wody i gazu, a także produkcję, instalację, działanie i konserwację urządzeń, maszyn i instalacji; organizowanie realizacji projektu, dostaw materiałów, instalacji i urządzeń oraz zarządzanie nimi; szacowanie ogólnych kosztów oraz przygotowywanie szczegółowych kosztorysów i szacunków; rozwiązywanie problemów projektowych i operacyjnych z różnych dziedzin technicznych poprzez stosowanie technologii inżynieryjnych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
215,Inżynierowie elektrotechnologii,"Inżynierowie elektrotechnologii zajmują się projektowaniem, planowaniem,  nadzorowaniem oraz prowadzeniem badań i doradztwem w zakresie budowy  i funkcjonowania systemów, elementów, silników i urządzeń elektronicznych,  elektrycznych i telekomunikacyjnych. Organizują i opracowują systemy kontroli  mające na celu monitorowanie wykonania i bezpieczeństwa zespołów i systemów  elektrycznych i elektronicznych.",,"Zadania wykonywane w tej grupie obejmują: nadzorowanie oraz prowadzenie badań i doradztwo w zakresie konserwacji i napraw produktów i systemów elektrycznych, elektronicznych i telekomunikacyjnych; projektowanie i doradztwo w zakresie elektrowni i systemów, które wytwarzają, przesyłają i dystrybuują energię elektryczną; określanie standardów kontroli dotyczących monitorowania wykonania i bezpieczeństwa systemów i urządzeń elektrycznych, elektronicznych i telekomunikacyjnych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
216,"Architekci, geodeci i projektanci","Architekci, geodeci i projektanci zajmują się planowaniem i projektowaniem: krajobrazu, budynków mieszkalnych, obiektów handlowych i przemysłowych, wnętrz; doradzają w projektowaniu i rozplanowaniu miast, krajobrazu i systemów ruchu oraz planują i nadzorują ich budowę, remonty oraz utrzymanie w dobrym stanie użytkowym. Prowadzą prace badawcze, aby precyzyjnie określić cechy krajobrazu, projektują, przygotowują i uaktualniają mapy oraz opracowują i wdrażają plany i polityki dotyczące kontroli zagospodarowania terenów.",,"Zadania wykonywane w tej grupie obejmują: określanie celów i ograniczeń odnośnie wytycznych projektowych poprzez konsultacje z klientami i zainteresowanymi stronami oraz przedstawianie zaleceń odnoszących się do stylu i innych aspektów budownictwa; tworzenie koncepcji projektowych i planów dostosowujących względy estetyczne do wymogów technicznych, funkcjonalnych, ekologicznych i produkcyjnych; przygotowywanie szkiców, schematów, ilustracji, animacji, planów, map, wykresów, próbek i modeli do przedstawienia koncepcji projektowych i innych informacji; analizowanie fotografii, zdjęć satelitarnych, dokumentów i danych dotyczących badań, map, rejestrów, sprawozdań i statystyk; nadzorowanie budów, celem zapewnienia zgodności wykonawstwa z dokumentacją projektową; planowanie i doradztwo w zakresie przebiegu dróg i innych ciągów komunikacyjnych z punktu widzenia sprawności i bezpieczeństwa; prowadzenie badań i analizowanie wymogów funkcjonalnych, przestrzennych, komercyjnych, kulturowych oraz związanych z bezpieczeństwem, ochroną środowiska i względami estetycznymi; utrzymywanie kontaktów zawodowych i prowadzenie konsultacji z innymi odpowiednimi specjalistami; przygotowywanie referatów naukowych i raportów technicznych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
221,Lekarze,"Lekarze badają, diagnozują, leczą choroby, schorzenia, obrażenia i inne rodzaje upośledzenia fizycznego i umysłowego u ludzi oraz im zapobiegają poprzez stosowanie zasad i procedur współczesnej medycyny. Planują, nadzorują i oceniają wdrażanie planów opieki i leczenia przez innych pracowników służby zdrowia oraz prowadzą kształcenie medyczne i działalność badawczą.",,"Zadania wykonywane w tej grupie obejmują: badania fizykalne pacjentów i rozmowy z pacjentami i ich rodzinami mające na celu określenie ich stanu zdrowia; zlecanie badań diagnostycznych i analizowanie wyników, zlecanie leczenia i środków profilaktycznych oraz ich nadzorowanie; przeprowadzanie operacji i innych zabiegów klinicznych; monitorowanie stanu pacjentów i ich reakcji na leczenie; doradztwo w zakresie zdrowia, żywienia i stylu życia mające na celu zapobieganie chorobom i zaburzeniom lub ich leczenie; diagnozowanie oraz leczenie komplikacji przed porodem, w jego trakcie i po nim; planowanie i realizację skierowań w przypadku pacjentów wymagających specjalistycznej, długotrwałej i innego rodzaju opieki medycznej; wymianę wiedzy medycznej z innymi specjalistami ochrony zdrowia w celu zapewnienia ciągłej i kompleksowej opieki; zgłaszanie organom rządowym urodzeń, zgonów i chorób podlegających obowiązkowi zgłoszenia; prowadzenie badań w zakresie zaburzeń i chorób u ludzi oraz metod profilaktyki i leczenia. Do ich  zadań może także należeć nadzorowanie innych pracowników.",
222,Pielęgniarki,"Pielęgniarki zapewniają leczenie i opiekę ludziom chorym, upośledzonym lub słabym fizycznie lub psychicznie i innym osobom wymagającym opieki z powodu potencjalnego zagrożenia dla zdrowia. Do ich obowiązków należy planowanie, sprawowanie i ocena opieki nad pacjentami, w tym nadzór nad innymi pracownikami służby zdrowia, praca indywidualna lub w zespołach z lekarzami i innymi osobami w zakresie stosowania w praktyce środków profilaktycznych i leczniczych.",,"Zadania wykonywane w tej grupie obejmują: ocenianie, planowanie i sprawowanie opieki nad pacjentami zgodnie z praktyką i standardami współczesnego pielęgniarstwa; koordynowanie opieki nad pacjentami w konsultacji z innymi specjalistami ochrony zdrowia i członkami zespołów medycznych; opracowywanie i wdrażanie planów opieki, leczenia i terapii, w tym podawanie leków, kontrolowanie i łagodzenie bólu i dolegliwości u pacjentów z zastosowaniem różnych terapii, między innymi z zastosowaniem leków przeciwbólowych; monitorowanie stanu zdrowia pacjentów, informowanie pacjentów, rodzin i społeczności o kwestiach zdrowotnych, takich jak: profilaktyka chorób, leczenie i opieka; nadzorowanie i koordynowanie pracy innych pracowników służby zdrowia; prowadzenie badań dotyczących praktyki pielęgniarskiej oraz przygotowywanie publikacji i sprawozdań naukowych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
223,Położne,"Położne zapewniają leczenie i opiekę przed porodem, w jego trakcie i po nim. Do ich obowiązków należy planowanie, sprawowanie i ocena opieki nad pacjentkami, w tym nadzór nad innymi pracownikami służby zdrowia, praca indywidualna lub w zespołach z lekarzami i innymi osobami w zakresie stosowania w praktyce środków profilaktycznych i leczniczych.",,"Zadania wykonywane w tej grupie obejmują: ocenianie, planowanie i sprawowanie opieki położniczej nad pacjentkami zgodnie z praktyką i standardami współczesnego położnictwa; koordynowanie opieki nad pacjentkami w konsultacji z innymi specjalistami ochrony zdrowia i członkami zespołów medycznych; opracowywanie i wdrażanie planów opieki, leczenia, w tym podawanie leków, kontrolowanie i łagodzenie bólu i dolegliwości, między innymi z zastosowaniem leków przeciwbólowych; monitorowanie przebiegu ciąży i reakcji na leczenie; informowanie pacjentek, ich rodzin i społeczności o kwestiach zdrowotnych, takich jak: profilaktyka chorób, leczenie i opieka, ciąża i poród; nadzorowanie i koordynowanie pracy innych pracowników służby zdrowia; prowadzenie badań dotyczących praktyki położniczej oraz przygotowywanie publikacji i sprawozdań naukowych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
